customer_id,customer_name,customer_type,industry_code,credit_limit,payment_terms,customer_since,status,billing_address,shipping_address,contact_email,contact_phone,account_manager,created_at,updated_at,_loaded_at
13,"Bennett, Cantu and Kane",Enterprise,MFG,36397.27578253922,COD,2024-05-16,ACTIVE,"Apt. 142 6 Simpson Brow
Port Amyland, WA, 2900","547/189 Gill Roadway
Kathyville, SA, 2987",wlee@example.com,+61211755567,Mrs. Emily Watts,2023-12-05 08:34:26.817911,2025-02-01 10:29:24.949411,2025-09-20 02:45:50.847919
14,Hall-Rowe,Individual,AUTO,43511.85200586236,COD,2023-06-08,ACTIVE,"37 Pamela Tarn
North Kellyborough, QLD, 2656","72 Mckee Vale
North Brian, SA, 2377",cbishop@example.org,+61.7.7351.0674,Cynthia Wilson,2025-06-15 21:37:13.938688,2025-03-14 04:40:10.149516,2025-09-20 05:29:52.006460
15,"Mcintyre, James and Mcneil",Individual,MFG,256790.05664307723,COD,2024-12-14,ACTIVE,"46 Melissa Outlook
New Kimberly, VIC, 2698","Unit 46 316 Jeffrey Garden
St. Brendaberg, NSW, 2984",jennifercarson@example.net,(07)-9989-0716,Julie Fowler,2022-11-08 16:05:35.467010,2025-08-02 14:02:32.775257,2025-09-19 22:26:50.748048
16,Simpson Inc,Enterprise,RETAIL,179665.24424168072,Prepaid,2024-09-03,ACTIVE,"0 Avila Green
Brucestad, TAS, 2593","275/28 Misty Vista
Burnshaven, TAS, 2450",christopherwalter@example.com,+61888030249,Karen Smith,2023-03-08 05:37:44.210955,2024-10-02 23:59:44.607364,2025-09-20 17:02:10.777343
17,Kane-Sawyer,Individual,AUTO,243546.36431434736,Prepaid,2025-08-13,ACTIVE,"27 Amber Causeway
East Lynn, QLD, 2960","Flat 55 7 Heather Junction
Byrdland, VIC, 0289",dmiller@example.org,03 0083 3418,Laura Williams,2024-10-28 23:20:42.904629,2025-04-10 17:07:14.515512,2025-09-20 11:19:49.903525
18,Smith-Thomas,SME,MFG,24665.534713136924,COD,2024-04-18,ACTIVE,"Apt. 266 65 Shawn Cross
Michaelborough, WA, 2799","3 Villa Estate
Kingtown, TAS, 5551",jameskelley@example.com,+61255039303,Julie Baker,2024-03-17 13:16:33.149484,2025-04-20 21:41:43.158010,2025-09-20 11:41:49.086744
19,Harrison LLC,Enterprise,AUTO,311029.0589788647,Net 30,2025-08-18,ACTIVE,"08 Turner Access
Goodmanstad, VIC, 2020","339 Perry Cutting
West Jose, TAS, 2382",matthew27@example.net,0403 543 137,Erica Stokes,2024-07-26 07:11:59.786517,2024-11-07 13:19:12.953271,2025-09-20 05:54:53.202431
20,"Miller, Murphy and Craig",Individual,MFG,311758.19563449646,Net 15,2024-10-18,ACTIVE,"2 Gabriel Walkway
Lake Kimberlyport, QLD, 0804","19/126 Singleton Gates
Rileyside, SA, 8798",xkim@example.org,0229504888,Diana Benton,2023-09-21 12:58:13.455958,2025-05-19 02:32:31.968349,2025-09-20 04:05:09.370267
21,"Higgins, Malone and Brennan",Individual,HEALTH,6649.728195830242,Net 15,2025-07-31,ACTIVE,"3 Rachel Highway
South Jamie, ACT, 2643","963 Michael Point
New Jeannefurt, NT, 2655",lsmith@example.org,98759973,Tamara Russell,2023-04-30 17:28:32.355366,2025-02-19 08:01:07.975179,2025-09-20 04:34:33.452208
22,"Cohen, Mitchell and Perez",Enterprise,MFG,188577.4667357039,Net 30,2022-12-03,ACTIVE,"255 Castaneda Brae
South Veronicaport, TAS, 2136","Level 2 012 Campbell Road
East Tonyborough, NSW, 7198",ruben09@example.org,03 9278 0992,Teresa Cox,2024-11-26 03:34:06.124053,2025-07-08 19:38:12.620581,2025-09-20 16:40:16.297605
23,"Padilla, Garcia and Jackson",Individual,RETAIL,394540.2591819828,Net 30,2025-08-27,ACTIVE,"3 James Crest
Melissafurt, NT, 6620","08 Contreras Elbow
Smithberg, NT, 2660",deankathleen@example.net,0439 863 910,Sara Clark,2025-05-02 07:06:27.757860,2024-09-21 08:11:42.990492,2025-09-20 00:38:45.079014
24,Flynn-Carter,SME,RETAIL,50548.45968604593,Net 30,2022-10-21,ACTIVE,"Unit 12 41 Nichole Brace
Deleonfurt, TAS, 0899","67 Danielle Hill
Gibsonfurt, SA, 2649",fhicks@example.net,+61-3-0467-8630,Jason Rosario,2022-09-28 01:53:10.384773,2025-09-09 06:57:12.049555,2025-09-20 15:57:25.743971
25,"Jenkins, Maldonado and White",Individual,F&B,313513.78772595373,Net 30,2023-02-26,ACTIVE,"237 Gonzalez Plateau
Parkerstad, SA, 2641","400 Melissa Crescent
Harrisborough, NT, 2938",alexander86@example.com,0269194867,Michael Miller,2024-06-30 18:31:27.902503,2024-10-10 06:35:40.124347,2025-09-20 12:01:52.646190
26,Harvey-Allen,Enterprise,TECH,327047.64756989887,COD,2024-07-19,ACTIVE,"Suite 941 3 Peterson Chase
West Randall, NSW, 2681","Level 6 523 Combs Bypass
West Alexanderbury, ACT, 2609",mhudson@example.net,7698-6444,Christopher Jones,2022-12-13 12:24:24.752064,2025-03-23 22:19:14.634748,2025-09-20 14:00:56.271179
27,Little-Stevens,SME,HEALTH,36760.79710194669,Net 30,2023-02-23,ACTIVE,"Unit 62 47 Hernandez Quadrangle
Kingville, NT, 2096","Suite 185 111 Wayne Bypass
Washingtontown, QLD, 0966",elizabethsampson@example.net,0411.851.015,Darren Ross,2023-07-03 11:48:28.366351,2025-06-22 17:10:51.619275,2025-09-20 13:23:54.411310
28,Santana-Byrd,Enterprise,F&B,162775.04683196548,Net 30,2025-06-01,ACTIVE,"Unit 00 9 Donna Range
Leslieberg, SA, 2232","Unit 69 72 Debra Crescent
Lynnmouth, SA, 2950",eatoncourtney@example.com,(03) 7255 7301,Jonathan Alexander,2024-04-13 04:51:02.699097,2025-05-07 09:17:55.523344,2025-09-19 22:58:54.551751
29,Huerta-Evans,Enterprise,HEALTH,61801.43739356099,Net 15,2024-01-17,ACTIVE,"35 Smith Centreway
Jasonberg, NSW, 6143","7 Jennifer Steps
Vanessatown, QLD, 2920",hnelson@example.org,0408 725 842,Mrs. Angelica Wheeler MD,2023-12-05 19:41:38.252830,2024-10-14 18:02:17.538876,2025-09-20 11:42:13.346876
30,Bruce-Gonzalez,Enterprise,HEALTH,12206.648279566396,COD,2024-10-15,ACTIVE,"9/24 Jacobs Common
Heatherview, NT, 2631","31 Eric Fairway
Davidmouth, TAS, 0271",sylviamiller@example.net,0222727521,Daniel Francis,2022-12-08 15:48:33.136863,2025-05-13 00:56:03.716486,2025-09-19 21:15:22.329072
31,James LLC,Enterprise,MFG,36970.91786110599,Net 30,2024-03-02,ACTIVE,"819/048 Vasquez Mount
Waltersshire, QLD, 2673","3 Mike Promenade
Petersmouth, NSW, 2626",johnsonkeith@example.com,+61.452.723.114,Amanda Thomas,2025-05-16 17:20:31.524372,2025-07-04 21:58:31.472734,2025-09-20 07:19:50.245809
32,Johnson-Greer,SME,AUTO,62136.48798620937,Net 30,2025-09-11,ACTIVE,"159/257 Choi Foreshore
Lake Danastad, QLD, 4256","94 Vincent Crescent
West Regina, NSW, 2941",daniel58@example.com,0716638267,Gwendolyn Rose,2024-08-07 16:31:40.236037,2024-11-13 10:35:23.896122,2025-09-19 22:14:00.941042
33,"Osborne, Beltran and Lozano",SME,TECH,298469.8019731892,Net 15,2022-09-28,ACTIVE,"20 Sanders Common
Lake Kevin, QLD, 0955","7/49 John Triangle
Port Mercedesmouth, VIC, 2962",rachelmorse@example.org,+61.7.9727.7719,Chad Stafford,2025-04-26 09:27:21.727298,2025-04-30 01:25:01.956925,2025-09-20 00:08:45.386168
34,Parsons-Hall,SME,F&B,388964.31910398934,Prepaid,2025-03-20,ACTIVE,"Suite 822 501 Michael State Highway
Jacksonport, WA, 2658","6 Mary Square
Dianeshire, ACT, 2629",james27@example.org,0446 053 465,Robin Pruitt,2025-03-21 15:39:52.252394,2025-07-02 04:30:55.987091,2025-09-20 03:25:11.611244
35,Oliver Ltd,SME,HEALTH,295343.332140259,Prepaid,2023-05-18,ACTIVE,"4 Debbie Centre
West John, SA, 2449","Level 3 4 Ellis Lower
Jonesbury, VIC, 2955",williambriggs@example.net,+61-474-096-834,Mary Fox,2023-10-25 09:45:48.276421,2025-02-14 15:18:13.219982,2025-09-20 04:10:59.676828
36,"Massey, Fuller and Berger",Individual,HEALTH,8180.122607046755,Prepaid,2025-01-08,ACTIVE,"966 Marie Parade
West Roberttown, SA, 2950","9 Heidi Roadside
Jennifermouth, QLD, 2633",bortiz@example.net,+61-486-987-164,Courtney Moore,2022-09-22 10:55:06.721363,2024-11-13 01:18:14.374467,2025-09-20 08:46:07.536304
37,Johnson-Diaz,Individual,AUTO,9014.086534725777,Prepaid,2023-08-24,ACTIVE,"Unit 21 40 Jennifer Round
North Joland, QLD, 2695","01 Miller Siding
Johnsonfurt, NSW, 9536",ilamb@example.com,+61 3 9291 7736,Sherri Clarke,2023-05-02 14:17:36.241802,2025-08-20 09:51:49.668032,2025-09-20 17:25:25.213960
38,Burgess-Thompson,SME,RETAIL,232986.45085956232,Prepaid,2025-06-12,ACTIVE,"247 Christopher Roads
Port Melissa, ACT, 0208","Apt. 720 2 Rachel Elbow
East Sherry, NT, 1996",jason16@example.org,5390 8110,Kathleen Reed,2023-12-02 13:07:23.318467,2025-05-14 13:31:54.589710,2025-09-20 07:43:18.177053
39,Schmidt-Mcintyre,SME,MFG,358002.15484204685,Net 15,2024-05-03,ACTIVE,"0/64 Rodriguez Tarn
Guerraton, WA, 2602","37/037 Kenneth Fairway
Port Michael, WA, 1719",brownemily@example.com,0778 3182,Cory Lang,2023-05-17 07:23:57.989506,2025-03-17 22:48:50.417430,2025-09-20 01:35:30.633064
40,Coffey-Phillips,Enterprise,RETAIL,238320.52014228268,Net 15,2023-06-28,ACTIVE,"Unit 85 095 Steven Deviation
Rodneymouth, VIC, 2633","57/39 Burns Avenue
Jorgemouth, QLD, 7316",michelle14@example.net,+61-3-7419-8703,Deborah Gray,2025-01-24 12:11:38.401545,2025-08-07 05:59:20.572815,2025-09-19 22:02:07.768413
41,Mccarty-Taylor,SME,TECH,60313.800435159756,COD,2025-02-17,ACTIVE,"610 Campbell Centre
Evansborough, NSW, 2985","5 Huerta Retreat
Francisbury, ACT, 2968",megan39@example.com,03-5081-9339,Karen Randolph,2024-01-05 04:30:53.644363,2025-05-20 22:02:50.381731,2025-09-19 23:43:02.572972
42,"Craig, Sanders and Singleton",Enterprise,HEALTH,15619.010672625396,Prepaid,2025-04-19,ACTIVE,"Flat 37 776 Woods Mew
Port Micheleborough, SA, 7429","253 Derrick Road
Port Mary, VIC, 2625",gabrielle43@example.org,+61.422.744.545,Carl Clark,2025-08-29 07:18:29.053992,2024-11-04 09:38:53.447267,2025-09-20 01:50:05.407896
43,Smith-Herrera,Enterprise,F&B,359235.24627697025,Prepaid,2022-12-27,ACTIVE,"17/51 Smith Causeway
Harveyshire, QLD, 2654","Apt. 095 0 Smith Centre
Paulmouth, WA, 1001",morganscott@example.org,(07)-7278-7924,Natalie Clark MD,2024-02-23 08:14:55.217595,2025-06-01 06:52:06.936161,2025-09-19 20:12:06.373738
44,"Baker, James and Little",Enterprise,TECH,16224.221042450165,Net 15,2024-09-26,ACTIVE,"483 Parker Walkway
Christianfort, NT, 2684","38 Scott Outlook
New Jessica, SA, 2696",randolpherin@example.net,(08)-7174-0668,Tina Norton,2022-10-14 19:14:59.837856,2024-11-28 12:10:49.173902,2025-09-20 14:48:31.404644
45,Johnson-Henson,SME,HEALTH,268484.53211508965,COD,2024-09-28,ACTIVE,"386/4 Hudson Alleyway
Lake Morgan, TAS, 2686","9 Garcia Circlet
Staceyfurt, WA, 2383",stevenberry@example.org,+61 8 9942 0613,Jeffrey Maddox,2025-09-17 15:16:14.924558,2025-07-03 01:32:36.309770,2025-09-20 15:31:08.554001
46,Holland Ltd,Individual,AUTO,132237.28841612456,Net 15,2025-06-19,ACTIVE,"Apt. 472 864 Denise Access
Jeremymouth, TAS, 2914","054 Sarah Reserve
Dianaburgh, TAS, 0911",amy97@example.net,+61898237618,Matthew Smith,2025-03-28 10:22:20.672517,2024-11-02 09:55:11.103513,2025-09-20 13:59:36.199357
47,Banks-Wilson,Individual,AUTO,221177.2548737868,COD,2025-06-12,ACTIVE,"43 Deleon Ronde
North Bonniebury, WA, 4146","594 Becky Cross
Bryanburgh, TAS, 5799",vanessadillon@example.com,07 9308 7879,Carol Chambers,2023-08-09 02:35:35.574322,2025-02-21 13:44:11.297678,2025-09-19 22:14:46.331111
48,Wilson-Young,Individual,AUTO,7978.630777562987,COD,2022-10-30,ACTIVE,"6/1 Walker Quad
Joshuamouth, ACT, 2996","388 Shelton Path
Phelpston, VIC, 2648",jonathanmartin@example.org,9128 1212,Derek Moss,2023-03-08 20:07:34.562381,2024-10-01 03:22:31.230274,2025-09-20 12:56:36.813548
49,Santiago-Paul,Enterprise,MFG,333754.49106215284,COD,2023-11-19,ACTIVE,"646/26 Richard Bridge
Donnaland, TAS, 8990","403 Pierce Range
Mitchellborough, ACT, 8183",ashley52@example.net,+61 3 5815 6710,Gregory Martin,2023-04-11 14:25:02.227136,2024-12-02 06:59:15.845337,2025-09-20 08:51:42.475231
50,"Barber, Mcclure and Pena",Enterprise,AUTO,61613.189232700104,Prepaid,2023-12-23,ACTIVE,"72 Alex Quay
Matthewmouth, VIC, 2043","939 Thornton Cruiseway
Goodwinbury, NT, 1715",jacksonjasmine@example.net,08-2251-9335,Mark Ryan,2023-12-24 13:53:03.761298,2025-04-05 12:52:30.184279,2025-09-19 22:34:34.199959
51,Johnson-Wood,Individual,TECH,383106.07395128167,Net 15,2024-07-25,ACTIVE,"05/337 Melendez Roads
South Anthony, WA, 2613","5 Jeffrey Circle
St. Williamton, TAS, 2617",iwilliams@example.net,+61-3-8443-7282,David Davis,2025-08-22 07:32:20.661084,2025-05-02 02:54:27.534255,2025-09-20 00:08:39.759499
52,Garcia-Jennings,Enterprise,HEALTH,182833.98950846086,Prepaid,2025-07-27,ACTIVE,"1/2 Jessica Mew
Barronfort, SA, 2490","1/2 Kathryn End
West Alyssamouth, TAS, 2614",shermanpaula@example.org,0440 125 200,Cynthia Stephens,2024-03-01 21:55:19.457151,2024-11-27 02:38:54.148696,2025-09-20 16:47:45.278604
53,Brown-Hill,Enterprise,F&B,345460.90638099646,Prepaid,2025-08-26,ACTIVE,"385/9 Paul View
Port James, NT, 3987","Suite 303 06 Burns Plateau
West Josephfort, NT, 2985",flemingbrandon@example.net,(03) 2091 8281,Douglas Hartman,2023-07-18 09:36:03.492631,2025-06-23 00:44:44.033974,2025-09-20 00:56:13.907397
54,Davis-Lewis,SME,RETAIL,328477.9953889708,Net 15,2025-07-26,ACTIVE,"5 Charles Strand
Ashleyberg, NSW, 2900","Flat 36 96 Gould Tollway
Codyport, TAS, 2687",stewartlauren@example.com,07 7966 6783,Leslie Luna,2023-11-21 09:12:33.339386,2025-02-03 08:23:33.763359,2025-09-20 08:17:20.880739
55,Buchanan and Sons,Enterprise,TECH,153058.3188808039,Net 15,2025-08-19,ACTIVE,"Flat 86 7 Richard Dip
North Kathryn, VIC, 2649","74 Gregory Quay
Lake Donald, VIC, 7901",cartermichael@example.org,3172 9409,Leslie Hall,2024-10-28 12:01:07.484330,2024-12-17 09:41:30.645517,2025-09-19 18:58:43.075737
56,Jones PLC,Individual,AUTO,113908.84123708504,Net 30,2025-01-29,ACTIVE,"Unit 99 891 Tracy Ridgeway
Port Jacqueline, QLD, 2687","156 Barry Entrance
Charlesmouth, VIC, 2926",alexis13@example.net,+61 437 513 768,Kelly Greer,2023-04-08 20:14:04.529197,2025-05-25 08:58:01.948536,2025-09-19 21:30:03.646500
57,Murphy and Sons,SME,F&B,85824.44082583147,COD,2023-05-14,ACTIVE,"Apt. 864 4 Richard Frontage
North Jamie, QLD, 2435","5 Donna View
South Williamborough, NSW, 6346",timothy42@example.net,(02) 4196 7991,Susan Johnson,2025-04-17 14:06:23.854900,2025-09-15 07:33:20.957567,2025-09-19 19:15:42.104189
58,Garrison-Thomas,SME,MFG,166330.4819362929,Net 15,2024-07-04,ACTIVE,"459 Cole Laneway
East Christina, WA, 2660","758 Williams Rue
Juliestad, VIC, 2663",ystout@example.com,0445-192-084,Holly Espinoza,2023-11-06 13:08:07.683480,2025-01-05 03:51:09.563021,2025-09-20 03:43:05.701458
59,Rodriguez Inc,Individual,F&B,115640.86971288986,Net 15,2023-06-21,ACTIVE,"Suite 438 4 Lisa Tollway
East Steven, NSW, 0278","495 Joshua Grange
Brownland, TAS, 2957",charles22@example.com,+61 465 385 194,Kenneth Keller,2024-10-14 04:51:40.935640,2024-09-28 09:39:11.651062,2025-09-20 02:13:25.307768
60,Chapman Inc,Individual,RETAIL,345151.1736369565,Prepaid,2023-10-17,ACTIVE,"43/1 Ware Ramp
East Noahview, NT, 3150","Unit 88 324 Steven Lane
Port Kendrahaven, VIC, 6747",shannon54@example.net,5684-5934,Kristen Ward,2023-05-03 07:07:35.729735,2024-11-21 15:56:55.778797,2025-09-20 10:33:40.487408
61,"Fisher, Wilson and Brown",SME,RETAIL,53394.57622597432,COD,2022-11-16,ACTIVE,"Apt. 170 2 Mccoy Beach
Hobbsborough, ACT, 3808","703 Curtis Formation
Castromouth, NT, 0281",hollysingh@example.org,1075-2879,Phillip Friedman,2024-01-29 05:55:40.795041,2024-10-24 23:12:17.043269,2025-09-20 17:44:57.576770
62,"Rodriguez, Gordon and Dougherty",Individual,TECH,25671.200117848486,Net 15,2023-10-21,ACTIVE,"Suite 628 968 Denise Walkway
Marissahaven, TAS, 2007","2 Jennifer Formation
West Sarahbury, NT, 3062",matthew96@example.org,+61 472 257 502,Tina Hensley,2023-09-24 01:41:28.195939,2024-12-06 04:32:22.110140,2025-09-20 07:32:23.874986
63,"Boyd, Ellis and Maynard",Enterprise,RETAIL,100673.66721072714,Prepaid,2025-01-25,ACTIVE,"Suite 741 680 Giles Tarn
Port Micheleburgh, WA, 2996","9 Dillon Centreway
Joshuastad, SA, 2389",david08@example.org,07-9312-2725,Catherine Williams,2024-12-19 22:23:04.903455,2024-10-08 18:17:54.991600,2025-09-20 04:10:53.876045
64,Simmons-Rodriguez,Individual,HEALTH,351521.2360094568,Prepaid,2024-02-26,ACTIVE,"0 Mary Estate
St. Brianburgh, VIC, 2664","Unit 14 035 Walker Deviation
West Ryan, QLD, 2944",ocampbell@example.com,(07) 9550 3079,Lindsey Jenkins,2023-07-01 17:07:18.370761,2025-03-25 09:40:29.499782,2025-09-19 20:30:32.505581
65,Morris and Sons,SME,AUTO,287483.6810276451,Net 30,2024-01-19,ACTIVE,"Unit 59 24 Murillo Subway
Yoderland, NT, 1424","9/6 Ramos Motorway
Penaland, QLD, 2635",michaelyoung@example.net,(03).5467.7239,Dorothy Mckenzie,2023-10-16 17:04:14.483494,2024-09-25 22:20:05.411627,2025-09-20 00:14:08.859954
66,"Richards, Joseph and James",SME,RETAIL,176618.04677368168,COD,2023-07-18,ACTIVE,"Unit 69 912 Stephen Extension
West Andreaview, WA, 2990","Suite 868 64 Kenneth Lees
West Jasonshire, NT, 2978",vrice@example.net,+61 8 7839 0751,Lori Zamora,2024-03-03 15:33:36.693430,2025-01-01 19:55:12.530589,2025-09-20 05:42:29.983979
67,"Jacobs, Garcia and Miles",Individual,HEALTH,265442.9134239687,Net 30,2023-08-09,ACTIVE,"0/436 Anderson Wade
Bobbystad, QLD, 2604","9 Foster Steps
Port Jason, VIC, 2663",shannonli@example.com,+61-3-8066-2679,Craig Potter,2024-10-24 03:18:41.839886,2024-11-18 04:16:39.432347,2025-09-20 13:39:31.743928
68,"Le, Lewis and Hayes",Enterprise,MFG,93844.89662607995,Net 30,2024-09-02,ACTIVE,"403/48 David Trail
Boltonbury, TAS, 2866","01/26 Willie Amble
South Jacqueline, VIC, 2939",andrewgarcia@example.net,(02)-9907-3722,Kayla Esparza,2025-02-10 17:49:15.772208,2025-07-25 11:40:55.430338,2025-09-19 22:52:58.351776
69,Ross-Blair,Enterprise,AUTO,301679.9850670925,Prepaid,2023-09-26,ACTIVE,"360 Powell Pass
Campbellland, NT, 2979","4/1 Ryan Estate
Melissabury, ACT, 2681",martinkristopher@example.com,+61 417 648 036,Holly Spears,2023-05-13 03:56:34.216823,2024-10-16 21:06:17.946876,2025-09-20 04:10:20.428455
70,Brooks-Hernandez,Enterprise,RETAIL,204940.94384745063,Prepaid,2023-08-28,ACTIVE,"Suite 204 986 Gabriel Mall
North Patrick, VIC, 2379","63 Reynolds View
New Michael, TAS, 2931",qmartinez@example.org,4544.0291,David Tyler,2022-10-11 00:07:47.964423,2025-08-12 08:52:35.542107,2025-09-20 06:48:24.500016
71,Davis Inc,Enterprise,F&B,49147.02510294719,Net 15,2022-12-02,ACTIVE,"569 Brianna Underpass
South Malik, WA, 2998","5 Gilbert Lane
West Patty, TAS, 2310",jacobstracy@example.org,+61 456 505 848,Taylor Barker,2024-08-20 10:45:05.191430,2025-04-07 21:45:02.186786,2025-09-20 10:13:59.411144
72,Hawkins PLC,Enterprise,AUTO,217658.0976230678,Net 30,2023-11-02,ACTIVE,"9/560 Martinez Fire Track
North Alexandra, SA, 7315","Flat 06 6 Jodi Brae
Port Patricia, SA, 0290",franklinmegan@example.net,(02)-4922-8356,Andrew Norman DDS,2022-12-01 11:10:13.356382,2024-10-27 13:29:46.649258,2025-09-20 05:14:27.262333
73,"Martinez, Gomez and Ortega",Individual,AUTO,389235.1663508377,Net 30,2024-05-27,ACTIVE,"1 Vickie Loop
North Adamland, SA, 2930","Level 9 5 William Service Way
Port Patriciaberg, SA, 2810",lawsonemily@example.com,2293-5117,Marissa Lara,2024-12-20 12:13:08.358663,2025-07-19 10:38:53.618673,2025-09-20 12:34:24.609964
74,"Williams, Roberts and Edwards",Individual,HEALTH,26715.15047153252,Net 30,2025-04-28,ACTIVE,"Suite 914 3 Monica Turn
South Kevintown, QLD, 8975","8/4 Hatfield Edge
East Russell, ACT, 2654",guerragina@example.net,(08)-3693-8058,Haley Jennings,2023-11-08 02:16:40.792163,2025-08-28 19:37:21.118548,2025-09-20 18:49:15.141436
75,Douglas and Sons,SME,F&B,178218.4287582829,Net 30,2024-03-29,ACTIVE,"Suite 099 6 Wall Lees
Ernestberg, SA, 1592","9 Michael Vale
Melanietown, WA, 2310",jonesmatthew@example.org,(08) 0704 3517,Danielle Cobb,2022-11-05 12:42:53.285252,2025-04-23 19:27:01.056655,2025-09-20 13:46:25.601665
76,"Richardson, Farmer and Andrews",Individual,F&B,328613.671874803,Net 30,2023-10-08,ACTIVE,"530 Holder Motorway
New Angelicafurt, NT, 5805","8 Johnson Expressway
Lake Danielletown, VIC, 2607",davidbrown@example.net,(03)17261084,Jacqueline Lopez,2022-10-15 14:21:05.681032,2024-12-19 04:04:04.075664,2025-09-19 23:29:47.755207
77,"Austin, Day and Johnson",Enterprise,HEALTH,251197.8543514645,Net 15,2025-04-03,ACTIVE,"175 Courtney Access
Gilbertchester, NSW, 8695","333/714 Andrews Glen
Jonathanland, NT, 5824",paula37@example.net,(08).3147.9612,Brian Payne,2024-01-27 08:05:50.814979,2024-12-09 14:26:33.869736,2025-09-20 02:56:52.800112
